curriculum,run_seed,checkpoint_idx,trained_steps,actual_timesteps,checkpoint_kind,group,n_cases_used,expected_cases,coverage,is_valid,mean_return,mean_success_strict,mean_success_soft,mean_length
baseline,0,1,25000,32768,mid,training_like,4,4,1.0,True,-478.8957155489741,0.0,0.0,281.6
baseline,0,2,50000,65536,mid,training_like,4,4,1.0,True,-253.49078175031354,0.0,0.0,315.45
baseline,0,3,75000,98304,mid,training_like,4,4,1.0,True,-240.66749995359447,0.0,0.0,360.425
baseline,0,4,100000,131072,mid,training_like,4,4,1.0,True,-257.111483256656,0.0,0.0,828.4749999999999
baseline,0,5,125000,163840,mid,training_like,4,4,1.0,True,-166.17606627106903,0.0,0.0,962.05
baseline,0,6,150000,196608,mid,training_like,4,4,1.0,True,-127.49291840372126,0.0,0.0,1000.0
baseline,0,7,175000,229376,mid,training_like,4,4,1.0,True,-94.69772523697665,0.0,0.0,1000.0
baseline,0,8,200000,262144,mid,training_like,4,4,1.0,True,-64.414543760175,0.0,0.0,1000.0
baseline,0,9,225000,294912,mid,training_like,4,4,1.0,True,-66.79156567642698,0.0,0.0,1000.0
baseline,0,10,250000,327680,mid,training_like,4,4,1.0,True,-68.45874127507386,0.0,0.0,1000.0
baseline,0,11,275000,360448,mid,training_like,4,4,1.0,True,-47.49961379551096,0.0,0.0,1000.0
baseline,0,12,300000,393216,mid,training_like,4,4,1.0,True,-40.259547365018626,0.0,0.0,1000.0
baseline,0,13,325000,425984,mid,training_like,4,4,1.0,True,-41.960629226251015,0.0,0.0,1000.0
baseline,0,14,350000,458752,mid,training_like,4,4,1.0,True,-16.065039629695193,0.1,0.125,952.475
baseline,0,15,375000,491520,mid,training_like,4,4,1.0,True,107.3491582552727,0.47500000000000003,0.5499999999999999,758.5
baseline,0,16,400000,524288,mid,training_like,4,4,1.0,True,196.30621872229352,0.7250000000000001,0.875,471.84999999999997
baseline,0,17,425000,557056,mid,training_like,4,4,1.0,True,218.45078566543907,0.7,0.925,398.45
baseline,0,18,450000,589824,mid,training_like,4,4,1.0,True,221.57299998373773,0.825,0.85,400.15000000000003
baseline,0,19,475000,622592,mid,training_like,4,4,1.0,True,231.15879434759685,0.75,0.875,370.45000000000005
baseline,0,20,500000,655360,final,training_like,4,4,1.0,True,220.12710318272502,0.71,0.8925,348.38
baseline,1,1,25000,32768,mid,training_like,4,4,1.0,True,-155.6641357737292,0.0,0.025,188.52499999999998
baseline,1,2,50000,65536,mid,training_like,4,4,1.0,True,-163.6093802853644,0.0,0.0,218.275
baseline,1,3,75000,98304,mid,training_like,4,4,1.0,True,-194.29031109703357,0.0,0.0,329.225
baseline,1,4,100000,131072,mid,training_like,4,4,1.0,True,-209.9930745548444,0.0,0.0,464.325
baseline,1,5,125000,163840,mid,training_like,4,4,1.0,True,-189.41270807499615,0.0,0.0,728.075
baseline,1,6,150000,196608,mid,training_like,4,4,1.0,True,-112.90793277397533,0.0,0.0,907.325
baseline,1,7,175000,229376,mid,training_like,4,4,1.0,True,-93.49916921432832,0.0,0.0,923.0250000000001
baseline,1,8,200000,262144,mid,training_like,4,4,1.0,True,-103.73752672931465,0.0,0.0,943.075
baseline,1,9,225000,294912,mid,training_like,4,4,1.0,True,-76.32911870566878,0.0,0.0,1000.0
baseline,1,10,250000,327680,mid,training_like,4,4,1.0,True,-81.7481426350887,0.0,0.0,1000.0
baseline,1,11,275000,360448,mid,training_like,4,4,1.0,True,-86.88589285633415,0.0,0.0,988.05
baseline,1,12,300000,393216,mid,training_like,4,4,1.0,True,-76.41388985008925,0.0,0.0,1000.0
baseline,1,13,325000,425984,mid,training_like,4,4,1.0,True,-63.66194209176338,0.0,0.0,981.325
baseline,1,14,350000,458752,mid,training_like,4,4,1.0,True,-30.76688283958859,0.025,0.15000000000000002,923.075
baseline,1,15,375000,491520,mid,training_like,4,4,1.0,True,-53.84645274586801,0.0,0.05,944.75
baseline,1,16,400000,524288,mid,training_like,4,4,1.0,True,165.07491897822467,0.475,0.725,583.65
baseline,1,17,425000,557056,mid,training_like,4,4,1.0,True,166.29783399059357,0.5,0.8250000000000001,546.0999999999999
baseline,1,18,450000,589824,mid,training_like,4,4,1.0,True,103.60412389965961,0.27499999999999997,0.5499999999999999,681.4250000000001
baseline,1,19,475000,622592,mid,training_like,4,4,1.0,True,113.26150361469134,0.35,0.55,607.1500000000001
baseline,1,20,500000,655360,final,training_like,4,4,1.0,True,185.6880159229871,0.515,0.74,482.55000000000007
baseline,2,1,25000,32768,mid,training_like,4,4,1.0,True,-1227.4454705799249,0.0,0.0,280.9
baseline,2,2,50000,65536,mid,training_like,4,4,1.0,True,-449.6322236588119,0.05,0.15000000000000002,562.65
baseline,2,3,75000,98304,mid,training_like,4,4,1.0,True,-208.87418517065913,0.0,0.0,565.5
baseline,2,4,100000,131072,mid,training_like,4,4,1.0,True,-183.2008724487923,0.0,0.0,761.05
baseline,2,5,125000,163840,mid,training_like,4,4,1.0,True,-152.72875862640723,0.0,0.0,890.0
baseline,2,6,150000,196608,mid,training_like,4,4,1.0,True,-142.0173131788666,0.0,0.0,853.025
baseline,2,7,175000,229376,mid,training_like,4,4,1.0,True,-124.98612777600012,0.0,0.0,890.95
baseline,2,8,200000,262144,mid,training_like,4,4,1.0,True,-100.12627054463374,0.0,0.0,933.825
baseline,2,9,225000,294912,mid,training_like,4,4,1.0,True,-96.24196235293012,0.0,0.0,912.65
baseline,2,10,250000,327680,mid,training_like,4,4,1.0,True,-85.14234440175142,0.0,0.0,934.9000000000001
baseline,2,11,275000,360448,mid,training_like,4,4,1.0,True,-64.7793028513609,0.0,0.05,917.4000000000001
baseline,2,12,300000,393216,mid,training_like,4,4,1.0,True,-29.590097416611577,0.025,0.15000000000000002,892.25
baseline,2,13,325000,425984,mid,training_like,4,4,1.0,True,47.43684863966123,0.325,0.42500000000000004,792.2249999999999
baseline,2,14,350000,458752,mid,training_like,4,4,1.0,True,163.70704020401337,0.45,0.8,597.85
baseline,2,15,375000,491520,mid,training_like,4,4,1.0,True,166.6318087793385,0.35,0.725,535.2
baseline,2,16,400000,524288,mid,training_like,4,4,1.0,True,174.3650274592203,0.30000000000000004,0.7,546.9
baseline,2,17,425000,557056,mid,training_like,4,4,1.0,True,196.68694651581941,0.6000000000000001,0.825,441.67499999999995
baseline,2,18,450000,589824,mid,training_like,4,4,1.0,True,185.02380380856124,0.425,0.775,467.02500000000003
baseline,2,19,475000,622592,mid,training_like,4,4,1.0,True,199.734617008687,0.47500000000000003,0.775,466.175
