episode,return,length,terminated,truncated
0,-19.94353102409081,153,True,False
1,-96.33878836456584,411,True,False
2,-211.66850661170452,669,True,False
3,-150.76805444228742,863,True,False
4,-157.203283448056,861,True,False
5,-159.51112410023882,830,True,False
6,-131.70378885310868,866,True,False
7,-105.31743217805482,853,True,False
8,-102.9098353470487,789,True,False
9,-80.45967698484114,840,True,False
10,-81.10060159457083,895,True,False
11,-55.20148687569292,836,True,False
12,-15.24429165485606,783,True,False
13,18.282319028852807,752,True,False
14,49.30519798130635,734,True,False
15,117.52251396410168,616,True,False
16,150.97954695827377,564,True,False
17,165.39039387945914,541,True,False
18,168.2098011875506,512,True,False
19,176.44578765500617,474,True,False
