episode,return,length,terminated,truncated
0,-178.57600275442232,408,True,False
1,-214.0797804082742,561,True,False
2,-189.00707393329213,697,True,False
3,-141.98530788193165,933,True,False
4,-124.23063198895474,973,True,False
5,-114.15719730094739,990,True,False
6,-98.82478625782467,978,True,False
7,-55.09187575410866,968,True,False
8,-17.086779904784116,913,True,False
9,152.24128920256123,653,True,False
10,193.95238058084706,485,True,False
11,192.16204540105227,514,True,False
12,211.99097893372146,459,True,False
13,186.35618008760198,476,True,False
14,215.61566972766917,417,True,False
15,207.70207792412526,378,True,False
16,198.72405330706147,375,True,False
17,224.0321544469613,334,True,False
18,225.1438562596291,341,True,False
19,217.0586280508797,326,True,False
