episode,return,length,terminated,truncated
0,-99.24285404651356,303,True,False
1,-199.53099658653284,453,True,False
2,-134.77131200652877,687,True,False
3,-131.10769694405406,853,True,False
4,-135.63209460293177,864,True,False
5,-89.8967401241989,954,True,False
6,-53.919322890880814,939,True,False
7,-23.369375817075476,876,True,False
8,-16.04496495816523,887,True,False
9,13.750439284135695,824,True,False
10,103.3181957327279,671,True,False
11,136.65044530435424,586,True,False
12,137.89714532722468,633,True,False
13,210.71480390822188,459,True,False
14,193.55306583966453,406,True,False
15,195.02306333619416,474,True,False
16,208.66005962432996,416,True,False
17,203.38818475936546,412,True,False
18,209.56044059381557,347,True,False
19,189.44014072187892,320,True,False
