curriculum,group,mean_return,std_return,mean_success,std_success,mean_length,std_length,n_seeds
baseline,training_like,185.01779797922782,49.742388788003375,0.8550000000000001,0.11221878432577839,466.843,126.06517577890676,10
joint,training_like,229.8010759806636,12.461861662081663,0.91625,0.03804693738587172,355.96675,39.575313960465856,10
param,training_like,238.09143348109131,6.338097746733736,0.92225,0.029284286647354826,340.938,29.311315903589204,10
baseline,unseen_combo,175.94341249694978,34.25440622137827,0.8543333333333333,0.06411890959694524,426.16833333333335,81.8181950884451,10
joint,unseen_combo,211.80111826922757,12.392822726667845,0.9156666666666666,0.03695342413844155,327.85266666666666,33.820931892454915,10
param,unseen_combo,213.79409501253366,13.475522393439443,0.915,0.017302679447108272,323.488,26.526437090030736,10
baseline,unseen_range,153.0357719310067,35.753639049470166,0.8720000000000001,0.0806792154304263,410.64833333333337,88.57644867500923,10
joint,unseen_range,185.2724344687014,18.434082601394582,0.9283333333333333,0.02731842411809833,317.8276666666667,33.35208161826792,10
param,unseen_range,189.57347790199532,16.079568670977157,0.916,0.01755414902945024,312.37399999999997,33.86876512892115,10
baseline,generalization_combined,164.48959221397826,34.74249572163843,0.8631666666666667,0.07119981446778438,418.4083333333334,84.66869618812804,10
joint,generalization_combined,198.5367763689645,14.596114054843198,0.922,0.029562655788747262,322.8401666666667,33.401539278956946,10
param,generalization_combined,201.6837864572645,14.554029627474256,0.9155000000000001,0.015336754851751266,317.931,29.401661309826977,10
