curriculum,checkpoint_idx,mean_return,std_return,mean_success,std_success,mean_length,std_length,n_seeds
baseline,1,-229.90896979099497,262.11230945824514,0.9675,0.040909792362111924,262.8275,127.08474504680376,10
baseline,2,-163.8900963259467,74.45519194455296,0.8525,0.2361290842832463,434.41,212.9448051204297,10
baseline,3,-191.93938101609317,33.91740600308542,0.7925,0.2463765185420252,514.7774999999999,179.69764090224814,10
baseline,4,-172.23975899187826,61.75371089340842,0.5375,0.2889756814066617,657.155,171.94696848802604,10
baseline,5,-151.25727951266666,62.80133236210222,0.465,0.27033929298815096,733.35,132.457824000279,10
baseline,6,-141.30961250629616,42.62180959604235,0.335,0.24726279317537625,798.1675,137.6807958094455,10
baseline,7,-125.58917433633835,21.623730144525894,0.2125,0.15103807466993213,852.515,100.33045621566983,10
baseline,8,-116.85049498040522,28.93501033906978,0.195,0.15083103128998357,868.9275,126.45943654104181,10
baseline,9,-102.1804335043076,30.38206871592475,0.185,0.1841647812874836,871.625,129.86054913722728,10
baseline,10,-82.42807568364509,65.9714987148096,0.205,0.28106938645110396,874.6299999999999,151.69224363090478,10
baseline,11,-70.67538712074881,77.10701817912482,0.24500000000000002,0.2798312983845009,859.6975,160.9147930367359,10
baseline,12,-40.19391874942002,106.57624545770949,0.3175,0.3496128811509477,834.2275,176.16713830353135,10
baseline,13,-6.805712248850599,111.53892176816352,0.375,0.33374973990834644,806.4449999999999,181.17488014193478,10
baseline,14,38.976562233060214,111.6460784139805,0.495,0.3104208612691987,780.2125,163.74392068867778,10
baseline,15,88.27341525884125,96.6308358585023,0.6425,0.2993163506689499,710.5425,177.63740223728536,10
baseline,16,122.8930888796277,96.13037299405333,0.755,0.2637338725980331,596.4350000000001,160.24102557640404,10
baseline,17,156.4573405230829,72.13879059744119,0.8549999999999999,0.20337431281042134,522.27,144.43561897183733,10
baseline,18,162.05363340894004,64.38436591958997,0.8474999999999999,0.15341030676659967,507.29499999999996,143.7147400234228,10
baseline,19,158.51728710517568,73.88352802877726,0.8474999999999999,0.14065817509914674,496.61,143.6846920246629,10
baseline,20,185.01779797922782,49.742388788003375,0.8550000000000001,0.11221878432577839,466.843,126.06517577890676,10
joint,1,-182.38777514738157,112.69181637644532,0.9775,0.02486072315029386,348.7375,97.22592621912463,10
joint,2,-198.38672577797655,65.53769323111334,0.825,0.16158932858054428,466.10249999999996,126.31835523017054,10
joint,3,-181.36890036692097,64.31502272991153,0.595,0.24175285819291661,608.3025,158.72043313900494,10
joint,4,-154.0857753490264,41.37468343045937,0.26,0.27668674625929507,843.25,148.91225650996256,10
joint,5,-124.22024651937029,38.25719951129971,0.1275,0.14834737761229366,925.6299999999999,89.48182605671637,10
joint,6,-100.08800186011493,20.815235669909956,0.025,0.05,978.9024999999999,39.14561748210845,10
joint,7,-52.351397532206725,56.79162860870493,0.15,0.2713136766016617,965.735,53.57371116301145,10
joint,8,10.336796801792271,90.1325584632191,0.385,0.40811218501235114,907.5775,121.88683871275393,10
joint,9,40.560039336589796,96.3620956011218,0.4325,0.38006761094427516,837.9275,186.87764247481405,10
joint,10,154.9845981505645,63.991295336603436,0.8525,0.18463552685704282,625.295,164.46295209289877,10
joint,11,158.96524371757354,60.755183468580405,0.86,0.14776106839534336,600.0925,172.43949987765436,10
joint,12,183.53965645592908,26.70738396819812,0.885,0.0737864787372622,552.915,95.50413109156877,10
joint,13,200.53761669935835,21.234770473931853,0.9125,0.058034951154933845,505.83000000000004,102.24064464129063,10
joint,14,209.19620079662644,25.18921699052254,0.9349999999999999,0.06476453075908485,468.265,113.74755870396126,10
joint,15,213.94612100324775,22.288777587737954,0.9324999999999999,0.06351946333386499,438.15500000000003,98.57881914150391,10
joint,16,216.200877393499,16.760329196459406,0.9400000000000001,0.04116363011742822,412.57250000000005,71.69984643753897,10
joint,17,221.84299999947294,8.692618003755722,0.9400000000000001,0.03944053188733079,381.74750000000006,60.45578095921753,10
joint,18,223.10004669057997,19.331148266515022,0.93,0.07888106377466152,372.65500000000003,64.61144742914284,10
joint,19,228.02420122309573,9.44798793139089,0.9475,0.04632314036562427,345.8875,42.68072237556436,10
joint,20,229.8010759806636,12.461861662081663,0.91625,0.03804693738587172,355.96675,39.575313960465856,10
param,1,-182.38777514738157,112.69181637644532,0.9775,0.02486072315029386,348.7375,97.22592621912463,10
param,2,-198.38672577797655,65.53769323111334,0.825,0.16158932858054428,466.10249999999996,126.31835523017054,10
param,3,-181.36890036692097,64.31502272991153,0.595,0.24175285819291661,608.3025,158.72043313900494,10
param,4,-154.0857753490264,41.37468343045937,0.26,0.27668674625929507,843.25,148.91225650996256,10
param,5,-126.13131349172554,27.46525886836157,0.145,0.19285861257523462,926.0174999999999,67.2429767604849,10
param,6,-88.49638416927422,20.275225411509087,0.03,0.03291402943021916,982.1025,17.964561758269124,10
param,7,-35.028921847608046,67.78591246951713,0.195,0.3013396017047138,945.01,96.30538680560801,10
param,8,17.53461241873539,103.1432055932139,0.40249999999999997,0.42482839672821615,865.1175,165.1809470996041,10
param,9,56.21236202826507,116.10086381957476,0.505,0.446560932759088,797.6850000000001,195.31147886844178,10
param,10,95.957334553746,111.35575849594215,0.6425,0.36705471889987556,694.83,185.73527038951613,10
param,11,129.17312884930078,102.17316549729296,0.7075,0.34198156220604775,655.4300000000001,204.036365154733,10
param,12,190.97822671824161,27.305555908616714,0.8975,0.07768347457614276,528.885,108.19310745144537,10
param,13,210.59627414514034,18.26945255172448,0.9400000000000001,0.044409708648247406,450.09,60.17262112733111,10
param,14,225.51219383954472,8.066462265175225,0.9550000000000001,0.04048319267163706,383.575,33.872583964682185,10
param,15,224.37880272233542,12.99739935993215,0.9475,0.04158324983291546,388.495,29.7766356020585,10
param,16,219.98732878904238,21.899728033886728,0.9375,0.06481812160876686,403.2475,76.22234056619416,10
param,17,230.01745693742404,16.866356477456154,0.96,0.03944053188733076,349.76,28.00340802672263,10
param,18,232.43389613051173,10.246994073815403,0.9525,0.05197488709837561,349.66499999999996,44.74608642104914,10
param,19,231.0611960346044,6.4562138574210595,0.9475,0.04923018495913976,339.1825,43.65063008645401,10
param,20,238.09143348109131,6.338097746733736,0.92225,0.029284286647354826,340.938,29.311315903589204,10
