curriculum,checkpoint_idx,mean_return,std_return,mean_success,std_success,mean_length,std_length,n_seeds
baseline,1,-239.9439510702161,295.045050806482,0.99,0.016101529717988245,252.31,113.83285130856135,10
baseline,2,-165.00514677710527,81.05704407728004,0.86,0.2628429564456435,445.47666666666663,224.10895831610762,10
baseline,3,-183.42426057752863,55.7767743057226,0.7666666666666666,0.2748737083745107,553.92,196.56219083078392,10
baseline,4,-167.16461398723428,73.26376802518539,0.5166666666666667,0.30317252554760565,702.8133333333333,189.33767548489837,10
baseline,5,-142.4887915347264,75.17471014123068,0.42333333333333334,0.2841708753897082,770.26,137.82900463443286,10
baseline,6,-133.78890872304245,50.27064242112259,0.31999999999999995,0.22835969028738007,826.3800000000001,112.87083757688984,10
baseline,7,-113.71058600205629,24.19450782163023,0.19666666666666666,0.1104983101373495,868.0533333333333,66.68442763411022,10
baseline,8,-96.44856391642743,37.17151484032111,0.19,0.11552349982728916,875.5866666666667,68.63253952376733,10
baseline,9,-79.4853861380898,45.197913698932716,0.22333333333333333,0.16409121221420098,853.4333333333334,86.35375705795722,10
baseline,10,-60.25013724195842,63.26863601869049,0.2966666666666667,0.24467161161619091,822.9766666666667,137.34392807928168,10
baseline,11,-27.76853015340298,91.12683452182291,0.4066666666666666,0.254247861954908,775.36,130.22028421007644,10
baseline,12,3.752597001139989,103.38201211581715,0.48999999999999994,0.26107564770993197,714.5566666666666,149.01776764558673,10
baseline,13,35.26945545637265,84.28315400148507,0.5700000000000001,0.21049618042926255,659.2333333333333,137.68686606361464,10
baseline,14,79.55011281908837,86.63886277287673,0.6866666666666666,0.23841037345895733,577.3833333333333,144.04631306854742,10
baseline,15,109.0041924410588,61.054832825070434,0.74,0.1403698817542556,552.7266666666667,81.79933260616994,10
baseline,16,128.42687198284042,60.49312933613262,0.8033333333333333,0.13374935098492585,505.0,96.70392257801802,10
baseline,17,141.7372131292563,55.82922714107311,0.8633333333333333,0.11701007659467345,451.4866666666667,93.4438356434125,10
baseline,18,154.3334581902223,52.6546751946374,0.8466666666666667,0.11674600476945511,431.2633333333333,82.19526202139289,10
baseline,19,155.35206884315528,41.0318445577723,0.8766666666666666,0.08020036636719369,421.60333333333335,92.43575740433774,10
baseline,20,175.94341249694978,34.25440622137827,0.8543333333333333,0.06411890959694524,426.16833333333335,81.8181950884451,10
joint,1,-175.40632548692193,119.23814609650655,0.97,0.0617641871541658,319.01,110.80707185391873,10
joint,2,-195.67298873273884,69.56223252534295,0.8266666666666665,0.18108043366634102,484.9666666666666,148.84480193049532,10
joint,3,-178.60273897215873,78.82618324829124,0.61,0.2320334160694091,629.48,156.2214637250435,10
joint,4,-147.4459489366951,53.11225652666153,0.29333333333333333,0.30258148581093913,839.61,155.3545098027392,10
joint,5,-117.6340407765598,43.498919625311345,0.15666666666666668,0.20611036238258737,919.8266666666666,82.53072574113256,10
joint,6,-83.56125244278678,32.179176525430535,0.07666666666666666,0.09944289260117531,962.4733333333334,46.02912336261535,10
joint,7,-7.685400951207521,75.24942537437823,0.32666666666666666,0.2955639096563686,874.47,101.81892236032203,10
joint,8,50.40965524687115,88.25063362954526,0.5466666666666666,0.3400072620865692,793.7633333333333,137.75415608437555,10
joint,9,100.92362917613262,57.13605841400858,0.7233333333333334,0.16781088709365818,666.0400000000001,120.7724948246613,10
joint,10,143.63409062970055,49.09485828688904,0.8566666666666667,0.14146499807023766,519.7866666666666,139.5236837278448,10
joint,11,145.07097254189438,39.965994135151014,0.8833333333333334,0.10213764617139018,462.38,116.53688675826486,10
joint,12,172.21618567146717,19.39584435145288,0.8966666666666667,0.06373169066533327,455.14,69.69561121205716,10
joint,13,188.1928135358931,27.045337203649957,0.9366666666666668,0.05079613089183314,423.7533333333333,56.10081797779581,10
joint,14,187.16603054606756,22.719421328718383,0.9333333333333332,0.03849001794597504,400.4266666666667,64.4448214548359,10
joint,15,192.84745211082247,19.5736138058813,0.9400000000000001,0.04097575314352397,361.99333333333334,56.676464948092395,10
joint,16,199.78807798380186,21.97178909647898,0.9366666666666668,0.050796130891833144,344.24333333333334,48.64824118475783,10
joint,17,194.61530896391417,18.48006804154351,0.96,0.040975753143523946,321.4266666666666,33.22558065522021,10
joint,18,207.76430599542914,12.069676738504308,0.96,0.03063121944908942,319.43333333333334,47.77948317369788,10
joint,19,198.4436988090646,24.58476290341999,0.9099999999999999,0.05676462121975464,333.71,33.664055821023545,10
joint,20,211.80111826922757,12.392822726667845,0.9156666666666666,0.03695342413844155,327.85266666666666,33.820931892454915,10
param,1,-175.40632548692193,119.23814609650655,0.97,0.0617641871541658,319.01,110.80707185391873,10
param,2,-195.67298873273884,69.56223252534295,0.8266666666666665,0.18108043366634102,484.9666666666666,148.84480193049532,10
