curriculum,run_seed,checkpoint_idx,trained_steps,actual_timesteps,checkpoint_kind,group,mean_return,mean_success,mean_length
baseline,0,1,25000,32768,mid,generalization_combined,-402.55793040935384,0.9833333333333334,261.01666666666665
baseline,0,2,50000,65536,mid,generalization_combined,-249.6863097127088,0.9833333333333334,294.4
baseline,0,3,75000,98304,mid,generalization_combined,-239.48469795924902,0.9333333333333332,371.6166666666667
baseline,0,4,100000,131072,mid,generalization_combined,-275.21937039835234,0.25,846.7666666666667
baseline,0,5,125000,163840,mid,generalization_combined,-192.2247203996248,0.1,917.0
baseline,0,6,150000,196608,mid,generalization_combined,-154.90412280327956,0.08333333333333333,929.3499999999999
baseline,0,7,175000,229376,mid,generalization_combined,-114.27251979736076,0.06666666666666667,956.45
baseline,0,8,200000,262144,mid,generalization_combined,-64.00477151616664,0.13333333333333333,913.8000000000001
baseline,0,9,225000,294912,mid,generalization_combined,-75.19951305490764,0.08333333333333333,947.3833333333334
baseline,0,10,250000,327680,mid,generalization_combined,-57.43032496790455,0.16666666666666666,895.1166666666667
baseline,0,11,275000,360448,mid,generalization_combined,0.2690859542670889,0.4166666666666667,776.95
baseline,0,12,300000,393216,mid,generalization_combined,1.8242972580232184,0.3833333333333333,751.4666666666667
baseline,0,13,325000,425984,mid,generalization_combined,14.115326243797321,0.4,715.5
baseline,0,14,350000,458752,mid,generalization_combined,32.96996785050484,0.5833333333333334,605.2666666666667
baseline,0,15,375000,491520,mid,generalization_combined,72.22591767858373,0.6333333333333333,534.8166666666666
baseline,0,16,400000,524288,mid,generalization_combined,134.9638424778583,0.8500000000000001,428.6
baseline,0,17,425000,557056,mid,generalization_combined,166.77877838649766,0.9333333333333332,352.01666666666665
baseline,0,18,450000,589824,mid,generalization_combined,138.6946422842392,0.9666666666666667,288.48333333333335
baseline,0,19,475000,622592,mid,generalization_combined,141.6130724671384,0.95,271.51666666666665
baseline,0,20,500000,655360,final,generalization_combined,172.60216173175763,0.915,337.0716666666667
baseline,1,1,25000,32768,mid,generalization_combined,-174.71935427874945,1.0,168.89999999999998
baseline,1,2,50000,65536,mid,generalization_combined,-190.23492614493557,1.0,212.71666666666667
baseline,1,3,75000,98304,mid,generalization_combined,-209.75309570830336,1.0,301.45
baseline,1,4,100000,131072,mid,generalization_combined,-213.3273591661797,1.0,412.6333333333333
baseline,1,5,125000,163840,mid,generalization_combined,-193.12288800757676,0.5833333333333333,663.4
baseline,1,6,150000,196608,mid,generalization_combined,-132.4571536351607,0.3666666666666667,750.1
baseline,1,7,175000,229376,mid,generalization_combined,-104.96368856776868,0.23333333333333334,853.15
baseline,1,8,200000,262144,mid,generalization_combined,-124.2642813094991,0.2833333333333333,862.6500000000001
baseline,1,9,225000,294912,mid,generalization_combined,-93.39011568808037,0.2,878.2166666666667
baseline,1,10,250000,327680,mid,generalization_combined,-85.67732079297411,0.3,854.9999999999999
baseline,1,11,275000,360448,mid,generalization_combined,-57.76773462876058,0.4666666666666667,741.3166666666666
baseline,1,12,300000,393216,mid,generalization_combined,-24.141794962271998,0.3833333333333333,770.6333333333333
baseline,1,13,325000,425984,mid,generalization_combined,-13.759703293778013,0.5166666666666666,669.5833333333333
baseline,1,14,350000,458752,mid,generalization_combined,30.563328323560004,0.5666666666666667,561.2166666666667
baseline,1,15,375000,491520,mid,generalization_combined,18.744251769401863,0.5,688.3999999999999
baseline,1,16,400000,524288,mid,generalization_combined,113.22347668199924,0.75,518.5833333333334
baseline,1,17,425000,557056,mid,generalization_combined,82.8910867419383,0.9,374.7166666666667
baseline,1,18,450000,589824,mid,generalization_combined,49.709130418849234,0.7833333333333332,399.1833333333334
baseline,1,19,475000,622592,mid,generalization_combined,97.45068323501445,0.8,434.48333333333335
baseline,1,20,500000,655360,final,generalization_combined,136.457600804462,0.8266666666666667,434.3833333333333
baseline,2,1,25000,32768,mid,generalization_combined,-995.5713881274489,1.0,297.43333333333334
baseline,2,2,50000,65536,mid,generalization_combined,-300.44098061983715,0.9166666666666666,460.3666666666667
baseline,2,3,75000,98304,mid,generalization_combined,-209.6531825187992,0.9666666666666666,525.5999999999999
baseline,2,4,100000,131072,mid,generalization_combined,-220.00000810302006,0.6000000000000001,727.7666666666667
baseline,2,5,125000,163840,mid,generalization_combined,-191.47242922936385,0.35,815.1333333333333
baseline,2,6,150000,196608,mid,generalization_combined,-171.5180483987383,0.21666666666666667,824.6333333333334
baseline,2,7,175000,229376,mid,generalization_combined,-149.53267542339114,0.18333333333333335,841.7333333333333
baseline,2,8,200000,262144,mid,generalization_combined,-121.55021201849249,0.15,881.7166666666667
baseline,2,9,225000,294912,mid,generalization_combined,-99.5900077111571,0.2,856.35
baseline,2,10,250000,327680,mid,generalization_combined,-79.67201453641414,0.25,830.1166666666668
baseline,2,11,275000,360448,mid,generalization_combined,-79.61260029712666,0.23333333333333334,845.2333333333333
baseline,2,12,300000,393216,mid,generalization_combined,-13.26572797662624,0.3833333333333333,742.0999999999999
baseline,2,13,325000,425984,mid,generalization_combined,43.15343998133832,0.6333333333333333,570.2833333333333
baseline,2,14,350000,458752,mid,generalization_combined,124.49105004391032,0.8666666666666667,488.6166666666667
baseline,2,15,375000,491520,mid,generalization_combined,129.29933932916555,0.8500000000000001,439.0333333333333
baseline,2,16,400000,524288,mid,generalization_combined,142.65437947146006,0.8999999999999999,436.41666666666663
baseline,2,17,425000,557056,mid,generalization_combined,123.89667030736558,0.9333333333333333,405.20000000000005
baseline,2,18,450000,589824,mid,generalization_combined,149.34657737188638,0.9166666666666666,416.65
baseline,2,19,475000,622592,mid,generalization_combined,159.40406561283666,0.9,393.6333333333333
baseline,2,20,500000,655360,final,generalization_combined,195.07323947750018,0.8916666666666667,397.9966666666667
baseline,3,1,25000,32768,mid,generalization_combined,-60.9817457445982,1.0,196.2
baseline,3,2,50000,65536,mid,generalization_combined,-176.37216092860692,0.26666666666666666,856.65
baseline,3,3,75000,98304,mid,generalization_combined,-182.39319727495564,0.4,723.8
