curriculum,trained_steps,mean_return,std_return,mean_success,std_success,mean_length,std_length,n_seeds
baseline,100000,98.984114751754,86.33859351263207,0.69375,0.2690163408915277,659.9225,174.4284664944662,10
baseline,200000,221.3219651277975,17.084430616873178,0.9400000000000001,0.04031128874149276,333.25374999999997,86.56570021160228,10
baseline,300000,232.62905035951457,12.676833899317062,0.9324999999999999,0.06213783960769083,279.58374999999995,67.59143191561172,10
baseline,400000,238.23890794084224,8.164550819649312,0.9525,0.028136571693556895,235.51875,35.189719561929195,10
baseline,500000,239.9920374003238,10.511747742691918,0.96875,0.0169250800096583,229.83125,28.414991550089656,10
joint,100000,-162.13434870935382,66.14611709242119,0.43375,0.2756337394683992,730.92625,153.31952048857715,10
joint,200000,4.333829474650933,91.4874858563648,0.3225,0.3882743159731847,889.6299999999999,161.8794157698872,10
joint,250000,204.55768402088142,18.831082595828466,0.96125,0.027290871489688024,403.54125,54.38983675296229,10
joint,350000,229.1784949381598,9.07987692296746,0.9487499999999999,0.02239946675952606,358.23625000000004,52.21804493672556,10
joint,400000,236.46797016418236,5.077612732507624,0.9525,0.034258007985157456,311.41375,36.98300494164703,10
joint,500000,240.7380277468598,6.907274895838775,0.96125,0.029136889561745115,300.9175,40.287299487555636,10
param,100000,-162.13434870935382,66.14611709242119,0.43375,0.2756337394683992,730.92625,153.31952048857715,10
param,200000,-25.055072063394274,76.78396865987101,0.18125,0.284327300639402,948.275,102.31038694960436,10
param,225000,159.46675197754558,47.8488508336943,0.8699999999999999,0.14303263030977698,539.36125,144.37368787883787,10
param,325000,204.61895446981012,20.665819644841385,0.915,0.04632314036562426,403.85875,69.6366749263035,10
param,350000,224.98542639783773,11.77148102176257,0.9412499999999999,0.04566256064265827,313.84375,40.710305415384546,10
param,450000,237.41917259534148,8.814168038941826,0.97875,0.01868042647621663,284.61749999999995,32.55093828652767,10
param,500000,239.40182948276885,16.509172138925884,0.9674999999999999,0.021408720964441897,270.21999999999997,30.619459929738937,10
