curriculum,trained_steps,mean_return,std_return,mean_success,std_success,mean_length,std_length,n_seeds
baseline,100000,113.00310835253927,54.870009092601336,0.7466666666666667,0.13603739500411705,548.0316666666666,112.87172727437651,10
baseline,200000,189.45516353926877,12.865964717512952,0.9216666666666666,0.051550047598497975,309.0083333333333,85.06874244608312,10
baseline,300000,192.81251267287868,19.838098448770666,0.945,0.05558332639235896,256.02166666666665,67.03407878934267,10
baseline,400000,198.74681810424607,25.744346034511494,0.9583333333333334,0.03788383804718297,227.68166666666667,47.9118245218479,10
baseline,500000,196.03238533508141,28.718942405434507,0.96,0.029606472432164986,222.37833333333333,38.86602268223239,10
joint,100000,-163.6366564419059,60.5190270667982,0.465,0.2960073822903246,717.7883333333333,175.24219889824303,10
joint,200000,52.02376018012079,67.60605081287733,0.5700000000000001,0.2607917668926923,754.1516666666666,139.92899532077504,10
joint,250000,162.19203801968013,30.75898716798598,0.9283333333333333,0.04782297603701633,374.86,48.92217377038509,10
joint,350000,205.8246928883275,14.309277978824374,0.9349999999999999,0.02658552469778979,328.03166666666664,57.49066400321763,10
joint,400000,206.1106716940429,25.82524782903631,0.9433333333333334,0.039440531887330786,299.4266666666667,45.11652895763575,10
joint,500000,208.53551598584423,16.88760877505414,0.9483333333333335,0.031865845332666676,283.26166666666666,45.60440000024904,10
param,100000,-163.6366564419059,60.5190270667982,0.465,0.2960073822903246,717.7883333333333,175.24219889824303,10
param,200000,1.4849072625950144,64.08267751948263,0.3533333333333334,0.23606862362823314,851.6450000000001,109.43610065487177,10
param,225000,126.80748113126222,45.11312389565799,0.865,0.06914379362987584,439.9333333333333,105.73887998622239,10
param,325000,179.11453527465915,21.81428811355383,0.9233333333333332,0.03865006029094685,347.385,52.527042682440864,10
param,350000,176.028175301005,14.983347765220962,0.9366666666666668,0.04142522640512722,287.38166666666666,34.76902663237733,10
param,450000,198.60833443727196,29.79526834347379,0.9466666666666667,0.031229931827900455,274.71500000000003,34.7079699193993,10
param,500000,204.34110476974593,35.43911334568574,0.9650000000000001,0.02986595567936804,260.64833333333337,44.143165969964734,10
