curriculum,run_seed,trained_steps,checkpoint_kind,group,mean_return,mean_success,mean_length
baseline,0,100000,mid,generalization_combined,109.07894315763265,0.7083333333333333,518.375
baseline,0,200000,mid,generalization_combined,147.8292111321062,0.9666666666666666,219.60833333333335
baseline,0,300000,mid,generalization_combined,129.106628514385,0.95,189.3416666666667
baseline,0,400000,mid,generalization_combined,131.27748144447702,0.9833333333333334,164.72500000000002
baseline,0,500000,final,generalization_combined,134.50081176745573,0.9916666666666667,164.93333333333334
baseline,1,100000,mid,generalization_combined,65.22059909897551,0.6666666666666665,575.4416666666666
baseline,1,200000,mid,generalization_combined,150.9836650479994,0.9666666666666667,207.19166666666666
baseline,1,300000,mid,generalization_combined,171.02511898501484,0.9833333333333334,203.13333333333335
baseline,1,400000,mid,generalization_combined,141.76273719241772,0.9749999999999999,183.60833333333335
baseline,1,500000,final,generalization_combined,134.11737423808745,0.9583333333333334,204.5333333333333
baseline,2,100000,mid,generalization_combined,150.7875198792135,0.9166666666666667,423.7583333333333
baseline,2,200000,mid,generalization_combined,180.39851344150566,0.875,363.96666666666664
baseline,2,300000,mid,generalization_combined,191.89262845602013,0.875,282.775
baseline,2,400000,mid,generalization_combined,218.11622928298618,0.95,258.8666666666667
baseline,2,500000,final,generalization_combined,228.69595880704833,0.9583333333333333,250.50833333333333
baseline,3,100000,mid,generalization_combined,45.31392424802054,0.6833333333333333,649.0916666666666
baseline,3,200000,mid,generalization_combined,172.75295825758116,0.9249999999999999,377.9083333333333
baseline,3,300000,mid,generalization_combined,196.44283539537815,0.9083333333333333,334.3833333333333
baseline,3,400000,mid,generalization_combined,212.48617568743688,0.9333333333333333,294.5083333333333
baseline,3,500000,final,generalization_combined,216.1966845395459,0.95,265.4416666666666
baseline,4,100000,mid,generalization_combined,42.0247104649888,0.5666666666666667,690.8166666666666
baseline,4,200000,mid,generalization_combined,175.1116192068778,0.8416666666666667,464.75
baseline,4,300000,mid,generalization_combined,188.3868313938073,0.9083333333333333,328.92500000000007
baseline,4,400000,mid,generalization_combined,170.60263223539187,0.9249999999999999,246.56666666666663
baseline,4,500000,final,generalization_combined,176.27810790524984,0.95,225.25
baseline,5,100000,mid,generalization_combined,150.77222993631443,0.925,488.8166666666666
baseline,5,200000,mid,generalization_combined,195.96652219149232,0.9750000000000001,244.60833333333335
baseline,5,300000,mid,generalization_combined,142.21426125196325,0.9833333333333334,196.34166666666664
baseline,5,400000,mid,generalization_combined,167.92985471674112,0.9666666666666668,209.53333333333336
baseline,5,500000,final,generalization_combined,140.11112773032818,0.9416666666666665,210.49166666666667
baseline,6,100000,mid,generalization_combined,32.836063616027005,0.5250000000000001,669.5083333333333
baseline,6,200000,mid,generalization_combined,174.4293793840332,0.9583333333333333,263.94166666666666
baseline,6,300000,mid,generalization_combined,160.5076556917603,0.9916666666666667,198.05833333333337
baseline,6,400000,mid,generalization_combined,194.50060370498704,0.9916666666666667,180.49166666666665
baseline,6,500000,final,generalization_combined,175.12862048517314,0.9666666666666667,191.70833333333331
baseline,7,100000,mid,generalization_combined,30.774029546004158,0.7083333333333333,624.4083333333333
baseline,7,200000,mid,generalization_combined,198.65143061621177,0.9083333333333332,343.3833333333333
baseline,7,300000,mid,generalization_combined,201.71599258995073,0.9583333333333333,273.7416666666667
baseline,7,400000,mid,generalization_combined,195.72471395259169,0.9666666666666667,222.97500000000002
baseline,7,500000,final,generalization_combined,199.08603796976388,0.9666666666666666,226.0
baseline,8,100000,mid,generalization_combined,146.01185912484638,0.8833333333333333,345.625
baseline,8,200000,mid,generalization_combined,175.11770242884498,0.9333333333333333,235.85000000000002
baseline,8,300000,mid,generalization_combined,166.98711436639553,0.9666666666666666,207.77499999999998
baseline,8,400000,mid,generalization_combined,188.31867341590345,0.9583333333333333,195.4666666666667
baseline,8,500000,final,generalization_combined,153.9877180900948,1.0,183.05
baseline,9,100000,mid,generalization_combined,176.01792592132665,0.9166666666666666,456.375
baseline,9,200000,mid,generalization_combined,193.10279620140804,0.9583333333333334,254.72500000000002
baseline,9,300000,mid,generalization_combined,190.21689771606592,0.9916666666666667,193.975
baseline,9,400000,mid,generalization_combined,190.92669091268897,0.9750000000000001,185.2
baseline,9,500000,final,generalization_combined,196.40487371881247,0.9916666666666667,189.59166666666667
joint,0,100000,mid,generalization_combined,-252.9763544816094,0.325,803.8666666666668
joint,0,200000,mid,generalization_combined,-38.593256642363755,0.38333333333333336,761.8666666666668
joint,0,250000,mid,generalization_combined,107.94387403975415,0.95,370.71666666666664
joint,0,350000,mid,generalization_combined,166.27189530278847,0.9249999999999999,422.85833333333335
joint,0,400000,mid,generalization_combined,221.8234444626351,0.9249999999999999,340.5416666666667
joint,0,500000,final,generalization_combined,222.67734679850844,0.9666666666666667,301.875
joint,1,100000,mid,generalization_combined,-193.7607842452981,0.8083333333333333,512.5583333333334
joint,1,200000,mid,generalization_combined,47.137289874787314,0.5666666666666667,809.9083333333333
joint,1,250000,mid,generalization_combined,196.6118972481916,0.9,379.01666666666665
joint,1,350000,mid,generalization_combined,167.94603755067556,0.9583333333333333,241.17500000000004
joint,1,400000,mid,generalization_combined,140.43840177246466,0.9416666666666667,231.98333333333335
joint,1,500000,final,generalization_combined,161.3112055480355,0.9666666666666666,219.71666666666664
joint,2,100000,mid,generalization_combined,-222.79664158422008,0.4833333333333333,691.1666666666666
joint,2,200000,mid,generalization_combined,-28.892671562426756,0.31666666666666665,844.4833333333333
joint,2,250000,mid,generalization_combined,117.69209606623221,0.9083333333333333,430.77500000000003
joint,2,350000,mid,generalization_combined,212.30925950812696,0.9416666666666667,322.0
joint,2,400000,mid,generalization_combined,208.54894259235482,0.9416666666666667,293.5083333333333
joint,2,500000,final,generalization_combined,209.19007856097127,0.9416666666666667,281.3
joint,3,100000,mid,generalization_combined,-45.10241470412523,0.9916666666666667,332.5333333333333
joint,3,200000,mid,generalization_combined,40.8975067934355,0.6833333333333333,751.6166666666667
joint,3,250000,mid,generalization_combined,161.66725726346496,0.9249999999999999,337.66666666666663
joint,3,350000,mid,generalization_combined,201.4860170452768,0.9500000000000001,293.4083333333333
joint,3,400000,mid,generalization_combined,175.3343037360574,0.95,277.2416666666667
joint,3,500000,final,generalization_combined,180.3063908111702,0.95,289.5083333333333
joint,4,100000,mid,generalization_combined,-174.0342265545828,0.575,688.1750000000001
joint,4,200000,mid,generalization_combined,104.16058428901485,0.9333333333333333,573.8666666666667
joint,4,250000,mid,generalization_combined,117.3743984788926,0.9833333333333334,286.55833333333334
joint,4,350000,mid,generalization_combined,193.8164656928659,0.9666666666666668,303.85833333333335
joint,4,400000,mid,generalization_combined,179.99932882742883,0.9833333333333334,227.39166666666665
joint,4,500000,final,generalization_combined,179.19849555738995,0.9833333333333334,236.925
joint,5,100000,mid,generalization_combined,-146.69936999863302,0.7250000000000001,573.8166666666667
joint,5,200000,mid,generalization_combined,30.467966804443254,0.525,764.9083333333334
joint,5,250000,mid,generalization_combined,124.27484535683806,0.8833333333333333,398.96666666666664
joint,5,350000,mid,generalization_combined,182.17104602063065,0.9249999999999999,353.375
joint,5,400000,mid,generalization_combined,154.58690252084583,0.9583333333333334,256.025
joint,5,500000,final,generalization_combined,161.40846666087864,0.9583333333333334,239.99999999999997
joint,6,100000,mid,generalization_combined,-190.68993144788107,0.06666666666666667,946.7666666666667
joint,6,200000,mid,generalization_combined,152.44079012491608,0.8916666666666666,511.07500000000005
joint,6,250000,mid,generalization_combined,118.07001647667946,0.9416666666666667,368.1333333333334
joint,6,350000,mid,generalization_combined,191.24733363197373,0.9,393.4
joint,6,400000,mid,generalization_combined,217.2373845169297,0.9416666666666665,329.3833333333333
joint,6,500000,final,generalization_combined,205.78847190533548,0.9750000000000001,288.875
joint,7,100000,mid,generalization_combined,-176.93980115907848,0.4,769.05
